DATE,GDP Change
4/1/1947,-0.4
7/1/1947,-0.4
10/1/1947,6.4
1/1/1948,6
4/1/1948,6.7
7/1/1948,2.3
10/1/1948,0.4
1/1/1949,-5.4
4/1/1949,-1.3
7/1/1949,4.5
10/1/1949,-3.5
1/1/1950,16.9
4/1/1950,12.7
7/1/1950,16.3
10/1/1950,8
1/1/1951,5.6
4/1/1951,7.1
7/1/1951,8.5
10/1/1951,0.9
1/1/1952,4.3
4/1/1952,0.8
7/1/1952,2.9
10/1/1952,13.8
1/1/1953,7.7
4/1/1953,3.2
7/1/1953,-2.2
10/1/1953,-5.9
1/1/1954,-1.8
4/1/1954,0.4
7/1/1954,4.6
10/1/1954,8
1/1/1955,11.9
4/1/1955,6.7
7/1/1955,5.5
10/1/1955,2.4
1/1/1956,-1.5
4/1/1956,3.4
7/1/1956,-0.3
10/1/1956,6.7
1/1/1957,2.6
4/1/1957,-0.9
7/1/1957,4
10/1/1957,-4
1/1/1958,-10
4/1/1958,2.6
7/1/1958,9.6
10/1/1958,9.7
1/1/1959,7.7
4/1/1959,10.1
7/1/1959,-0.8
10/1/1959,1.6
1/1/1960,9.2
4/1/1960,-1.5
7/1/1960,1
10/1/1960,-4.8
1/1/1961,2.7
4/1/1961,7.6
7/1/1961,6.8
10/1/1961,8.3
1/1/1962,7.4
4/1/1962,4.4
7/1/1962,3.9
10/1/1962,1.6
1/1/1963,4.5
4/1/1963,5.3
7/1/1963,8
10/1/1963,2.9
1/1/1964,8.9
4/1/1964,4.8
7/1/1964,5.5
10/1/1964,1.4
1/1/1965,10.2
4/1/1965,5.6
7/1/1965,8.4
10/1/1965,9.8
1/1/1966,10.2
4/1/1966,1.6
7/1/1966,2.9
10/1/1966,3.5
1/1/1967,3.7
4/1/1967,0.3
7/1/1967,3.5
10/1/1967,3.2
1/1/1968,8.4
4/1/1968,6.9
7/1/1968,2.9
10/1/1968,1.8
1/1/1969,6.4
4/1/1969,1.3
7/1/1969,2.5
10/1/1969,-1.7
1/1/1970,-0.7
4/1/1970,0.7
7/1/1970,3.6
10/1/1970,-4
1/1/1971,11.1
4/1/1971,2.3
7/1/1971,3.2
10/1/1971,1.2
1/1/1972,7.4
4/1/1972,9.6
7/1/1972,3.7
10/1/1972,6.8
1/1/1973,10.2
4/1/1973,4.6
7/1/1973,-2.2
10/1/1973,3.8
1/1/1974,-3.3
4/1/1974,1.1
7/1/1974,-3.8
10/1/1974,-1.6
1/1/1975,-4.7
4/1/1975,3.1
7/1/1975,6.8
10/1/1975,5.5
1/1/1976,9.3
4/1/1976,3.1
7/1/1976,2.1
10/1/1976,3
1/1/1977,4.7
4/1/1977,8.1
7/1/1977,7.3
10/1/1977,0
1/1/1978,1.4
4/1/1978,16.5
7/1/1978,4
10/1/1978,5.5
1/1/1979,0.8
4/1/1979,0.5
7/1/1979,2.9
10/1/1979,1
1/1/1980,1.3
4/1/1980,-7.9
7/1/1980,-0.6
10/1/1980,7.6
1/1/1981,8.5
4/1/1981,-2.9
7/1/1981,4.7
10/1/1981,-4.6
1/1/1982,-6.5
4/1/1982,2.2
7/1/1982,-1.4
10/1/1982,0.4
1/1/1983,5.3
4/1/1983,9.4
7/1/1983,8.1
10/1/1983,8.5
1/1/1984,8.2
4/1/1984,7.2
7/1/1984,4
10/1/1984,3.2
1/1/1985,4
4/1/1985,3.7
7/1/1985,6.4
10/1/1985,3
1/1/1986,3.8
4/1/1986,1.9
7/1/1986,4.1
10/1/1986,2.1
1/1/1987,2.8
4/1/1987,4.6
7/1/1987,3.7
10/1/1987,6.8
1/1/1988,2.3
4/1/1988,5.4
7/1/1988,2.3
10/1/1988,5.4
1/1/1989,4.1
4/1/1989,3.2
7/1/1989,3
10/1/1989,0.9
1/1/1990,4.5
4/1/1990,1.6
7/1/1990,0.1
10/1/1990,-3.4
1/1/1991,-1.9
4/1/1991,3.1
7/1/1991,1.9
10/1/1991,1.8
1/1/1992,4.8
4/1/1992,4.5
7/1/1992,3.9
10/1/1992,4.1
1/1/1993,0.8
4/1/1993,2.4
7/1/1993,2
10/1/1993,5.4
1/1/1994,4
4/1/1994,5.6
7/1/1994,2.4
10/1/1994,4.6
1/1/1995,1.4
4/1/1995,1.4
7/1/1995,3.5
10/1/1995,2.9
1/1/1996,2.7
4/1/1996,7.2
7/1/1996,3.7
10/1/1996,4.3
1/1/1997,3.1
4/1/1997,6.2
7/1/1997,5.2
10/1/1997,3.1
1/1/1998,4
4/1/1998,3.9
7/1/1998,5.3
10/1/1998,6.7
1/1/1999,3.2
4/1/1999,3.3
7/1/1999,5.1
10/1/1999,7.1
1/1/2000,1.2
4/1/2000,7.8
7/1/2000,0.5
10/1/2000,2.3
1/1/2001,-1.1
4/1/2001,2.1
7/1/2001,-1.3
10/1/2001,1.1
1/1/2002,3.7
4/1/2002,2.2
7/1/2002,2
10/1/2002,0.3
1/1/2003,2.1
4/1/2003,3.8
7/1/2003,6.9
10/1/2003,4.8
1/1/2004,2.3
4/1/2004,3
7/1/2004,3.7
10/1/2004,3.5
1/1/2005,4.3
4/1/2005,2.1
7/1/2005,3.4
10/1/2005,2.3
1/1/2006,4.9
4/1/2006,1.2
7/1/2006,0.4
10/1/2006,3.2
1/1/2007,0.2
4/1/2007,3.1
7/1/2007,2.7
10/1/2007,1.4
1/1/2008,-2.7
4/1/2008,2
7/1/2008,-1.9
10/1/2008,-8.2
1/1/2009,-5.4
4/1/2009,-0.5
7/1/2009,1.3
10/1/2009,3.9
1/1/2010,1.7
4/1/2010,3.9
7/1/2010,2.7
10/1/2010,2.5
1/1/2011,-1.5
4/1/2011,2.9
7/1/2011,0.8
10/1/2011,4.6
1/1/2012,2.7
4/1/2012,1.9
7/1/2012,0.5
10/1/2012,0.1
1/1/2013,2.8
4/1/2013,0.8
7/1/2013,3.1
10/1/2013,4
1/1/2014,-0.9
4/1/2014,4.6
7/1/2014,5.2
10/1/2014,2
1/1/2015,3.2
4/1/2015,2.7
7/1/2015,1.6
10/1/2015,0.5
1/1/2016,0.6
4/1/2016,2.2
7/1/2016,2.8
10/1/2016,1.8
1/1/2017,1.2
4/1/2017,3.1
7/1/2017,3.2
10/1/2017,2.9
